gene	transcripts	chromosome	position	strand	annotation source
Scn10a	ENSMUST00000084787.5	chr9	119719031	-	GENCODE
Scn11a	ENSMUST00000070617.7	chr9	119825455	-	GENCODE
Scn1a	ENSMUST00000112366.1	chr2	66410063	-	GENCODE
Scn1b	ENSMUST00000098548.4	chr7	31126944	-	GENCODE
Scn2a1	ENSMUST00000028377.7	chr2	65620856	+	GENCODE
Scn2a1	ENSMUST00000100067.3	chr2	65670444	+	GENCODE
Scn2b	ENSMUST00000170998.1,ENSMUST00000093855.3	chr9	45117877	+	GENCODE
Scn3a	ENSMUST00000066432.5,ENSMUST00000100069.2	chr2	65567558	-	GENCODE
Scn3b	ENSMUST00000114956.3,ENSMUST00000049941.5	chr9	40269215	+	GENCODE
Scn3b	ENSMUST00000171835.2	chr9	40269432	+	GENCODE
Scn4a	ENSMUST00000021056.7	chr11	106349388	-	GENCODE
Scn4b	ENSMUST00000060125.5	chr9	45138436	+	GENCODE
Scn5a	ENSMUST00000065196.6	chr9	119562677	-	GENCODE
Scn5a	ENSMUST00000117911.1,ENSMUST00000120420.1	chr9	119579015	-	GENCODE
Scn7a	ENSMUST00000042792.6	chr2	66784913	-	GENCODE
Scn8a	ENSMUST00000082209.6	chr15	100870682	+	GENCODE
Scn8a	ENSMUST00000108910.3	chr15	100936270	+	GENCODE
Scn9a	ENSMUST00000100064.2	chr2	66634951	-	GENCODE
Scn9a	ENSMUST00000164384.2	chr2	66634652	-	GENCODE
Scnm1	ENSMUST00000172572.2	chr3	95134010	-	GENCODE
Scnn1a	ENSMUST00000081440.7	chr6	125321339	+	GENCODE
Scnn1b	ENSMUST00000033161.5	chr7	121865110	+	GENCODE
Scnn1g	ENSMUST00000000221.5	chr7	121734478	+	GENCODE
Sco1	ENSMUST00000108690.3,ENSMUST00000092996.4	chr11	67052669	+	GENCODE
Sco2	ENSMUST00000167643.2	chr15	89373817	-	GENCODE
Scoc	ENSMUST00000167525.1	chr8	83442647	-	GENCODE
Scp2	ENSMUST00000030340.8	chr4	108118531	-	GENCODE
Scp2d1	ENSMUST00000028918.2	chr2	144823665	+	GENCODE
Scpep1	ENSMUST00000000287.8	chr11	88955464	-	GENCODE
Scrg1	ENSMUST00000034023.3	chr8	57455922	+	GENCODE
Scrib	ENSMUST00000002603.5	chr15	76069753	-	GENCODE
Scrn1	ENSMUST00000019268.4	chr6	54566488	-	GENCODE
Scrn2	ENSMUST00000021249.4	chr11	97029937	+	GENCODE
Scrn3	ENSMUST00000090811.4	chr2	73312600	+	GENCODE
Scrt1	ENSMUST00000096365.3	chr15	76522128	-	GENCODE
Scrt1	ENSMUST00000164703.1	chr15	76521901	-	GENCODE
Scrt2	ENSMUST00000064061.3	chr2	152081528	+	GENCODE
Sct	ENSMUST00000046156.6,ENSMUST00000167790.1	chr7	141279131	-	GENCODE
Sctr	ENSMUST00000072886.4	chr1	120006979	+	GENCODE
Scube1	ENSMUST00000171496.1	chr15	83725020	-	GENCODE
Scube2	ENSMUST00000007423.5	chr7	109865585	-	GENCODE
Scube3	ENSMUST00000043503.3	chr17	28142315	+	GENCODE
Scx	ENSMUST00000043089.7	chr15	76457437	+	GENCODE
Scyl1	ENSMUST00000025890.8	chr19	5771400	-	GENCODE
Scyl2	ENSMUST00000174252.1,ENSMUST00000092227.5	chr10	89686275	-	GENCODE
Scyl3	ENSMUST00000027876.4	chr1	163929764	+	GENCODE
Sdad1	ENSMUST00000031364.1	chr5	92310023	-	GENCODE
Sdc1	ENSMUST00000020911.7,ENSMUST00000171158.1	chr12	8771367	+	GENCODE
Sdc2	ENSMUST00000022871.5	chr15	32920722	+	GENCODE
Sdc3	ENSMUST00000070478.3	chr4	130792536	+	GENCODE
Sdc4	ENSMUST00000017153.3	chr2	164443185	-	GENCODE
Sdcbp	ENSMUST00000029912.4,ENSMUST00000103008.5	chr4	6365662	+	GENCODE
Sdcbp2	ENSMUST00000028950.8	chr2	151572621	+	GENCODE
Sdccag3	ENSMUST00000077983.6,ENSMUST00000114102.3	chr2	26389305	-	GENCODE
Sdccag8	ENSMUST00000027785.8	chr1	176814659	+	GENCODE
Sde2	ENSMUST00000038091.6	chr1	180851150	+	GENCODE
Sdf2	ENSMUST00000002133.8	chr11	78245745	+	GENCODE
Sdf2l1	ENSMUST00000023453.7	chr16	17132382	-	GENCODE
Sdf4	ENSMUST00000105578.1	chr4	155993376	+	GENCODE
Sdf4	ENSMUST00000105579.1,ENSMUST00000050078.6	chr4	155992890	+	GENCODE
Sdha	ENSMUST00000022062.7	chr13	74350279	-	GENCODE
Sdhaf1	ENSMUST00000098586.3	chr7	30322374	-	GENCODE
Sdhaf2	ENSMUST00000025570.6	chr19	10525208	-	GENCODE
Sdhb	ENSMUST00000010007.8	chr4	140961202	+	GENCODE
Sdhc	ENSMUST00000111336.3	chr1	171150602	-	GENCODE
Sdhd	ENSMUST00000000175.4	chr9	50603848	-	GENCODE
Sdk1	ENSMUST00000085774.4	chr5	141241489	+	GENCODE
Sdk2	ENSMUST00000041627.7	chr11	114066217	-	GENCODE
Sdpr	ENSMUST00000051572.6	chr1	51289125	+	GENCODE
Sdr16c5	ENSMUST00000040925.3	chr4	4019662	-	GENCODE
Sdr16c6	ENSMUST00000095151.5	chr4	4076930	-	GENCODE
Sdr16c6	ENSMUST00000108383.1	chr4	4077521	-	GENCODE
Sdr39u1	ENSMUST00000111325.3	chr14	55900231	-	GENCODE
Sdr42e1	ENSMUST00000037955.7	chr8	117671546	-	GENCODE
Sdr42e1	ENSMUST00000173522.1	chr8	117673688	-	GENCODE
Sdr9c7	ENSMUST00000047134.7	chr10	127898517	+	GENCODE
Sds	ENSMUST00000066540.7	chr5	120476530	+	GENCODE
Sdsl	ENSMUST00000052258.7,ENSMUST00000031594.6	chr5	120472785	-	GENCODE
Sebox	ENSMUST00000001130.6	chr11	78503448	+	GENCODE
Sec1	ENSMUST00000040636.6	chr7	45694401	-	GENCODE
Sec11a	ENSMUST00000026818.5	chr7	80947779	-	GENCODE
Sec11c	ENSMUST00000025394.6	chr18	65800548	+	GENCODE
Sec13	ENSMUST00000032440.4	chr6	113740742	-	GENCODE
Sec14l1	ENSMUST00000021177.8,ENSMUST00000090433.5	chr11	117115204	+	GENCODE
Sec14l2	ENSMUST00000003681.7	chr11	4118830	-	GENCODE
Sec14l3	ENSMUST00000068322.6	chr11	4064840	+	GENCODE
Sec14l4	ENSMUST00000019512.7	chr11	4031782	+	GENCODE
Sec14l5	ENSMUST00000165810.1	chr16	5147108	+	GENCODE
Sec16a	ENSMUST00000114082.2,ENSMUST00000091252.4	chr2	26445214	-	GENCODE
Sec16a	ENSMUST00000153996.1	chr2	26439754	-	GENCODE
Sec16b	ENSMUST00000086130.2,ENSMUST00000027881.8	chr1	157506768	+	GENCODE
Sec16b	ENSMUST00000111700.1	chr1	157526146	+	GENCODE
Sec22a	ENSMUST00000043521.4	chr16	35363917	-	GENCODE
Sec22b	ENSMUST00000029476.2	chr3	97901189	+	GENCODE
Sec22c	ENSMUST00000078547.4	chr9	121705028	-	GENCODE
Sec22c	ENSMUST00000111560.2	chr9	121705464	-	GENCODE
Sec23a	ENSMUST00000021375.5	chr12	59012016	-	GENCODE
Sec23b	ENSMUST00000028916.8	chr2	144556255	+	GENCODE
Sec23ip	ENSMUST00000042942.8	chr7	128744869	+	GENCODE
Sec24a	ENSMUST00000038210.5	chr11	51756210	-	GENCODE
Sec24a	ENSMUST00000109097.2	chr11	51756617	-	GENCODE
Sec24b	ENSMUST00000001079.8	chr3	130060906	-	GENCODE
Sec24c	ENSMUST00000048657.8	chr14	20674320	+	GENCODE
Sec24d	ENSMUST00000047923.7	chr3	123267495	+	GENCODE
Sec31a	ENSMUST00000094578.4,ENSMUST00000182886.1	chr5	100416203	-	GENCODE
Sec31b	ENSMUST00000063632.7	chr19	44545863	-	GENCODE
Sec61a1	ENSMUST00000032168.5	chr6	88518904	-	GENCODE
Sec61a2	ENSMUST00000102981.3	chr2	5895431	-	GENCODE
Sec61b	ENSMUST00000065678.5	chr4	47474657	+	GENCODE
Sec61g	ENSMUST00000109642.1,ENSMUST00000109641.1	chr11	16508116	-	GENCODE
Sec61g	ENSMUST00000109643.1,ENSMUST00000178855.1	chr11	16508483	-	GENCODE
Sec62	ENSMUST00000029256.7	chr3	30792875	+	GENCODE
Sec63	ENSMUST00000019937.4	chr10	42761495	+	GENCODE
Secisbp2	ENSMUST00000040117.8	chr13	51651696	+	GENCODE
Secisbp2l	ENSMUST00000053699.6	chr2	125782869	-	GENCODE
Sectm1a	ENSMUST00000026162.5	chr11	121081219	-	GENCODE
Sectm1b	ENSMUST00000039309.5	chr11	121063568	-	GENCODE
Sectm1b	ENSMUST00000168459.1,ENSMUST00000081499.2	chr11	121063540	-	GENCODE
Sectm1b	ENSMUST00000170381.1	chr11	121056362	-	GENCODE
Seh1l	ENSMUST00000025421.7	chr18	67774875	+	GENCODE
Sel1l	ENSMUST00000021347.5	chr12	91849156	-	GENCODE
Sel1l2	ENSMUST00000122367.1	chr2	140389703	-	GENCODE
Sel1l3	ENSMUST00000031090.6	chr5	53213451	-	GENCODE
Sele	ENSMUST00000027874.5	chr1	164048233	+	GENCODE
Selenbp1	ENSMUST00000090839.5	chr3	94933055	+	GENCODE
Selenbp2	ENSMUST00000090848.3	chr3	94693555	+	GENCODE
Selk	ENSMUST00000112268.1	chr14	29968307	+	GENCODE
Sell	ENSMUST00000027871.7	chr1	164062075	+	GENCODE
Selm	ENSMUST00000094469.4	chr11	3514866	+	GENCODE
Selo	ENSMUST00000082439.4	chr15	89089083	+	GENCODE
Selp	ENSMUST00000162746.1	chr1	164115263	+	GENCODE
Selplg	ENSMUST00000100874.4	chr5	113830500	-	GENCODE
Selrc1	ENSMUST00000131656.1	chr4	108328139	+	GENCODE
Selt	ENSMUST00000107924.1	chr3	58576635	+	GENCODE
Sema3a	ENSMUST00000030714.7	chr5	13399308	+	GENCODE
Sema3a	ENSMUST00000095012.3	chr5	13396783	+	GENCODE
Sema3b	ENSMUST00000073448.5	chr9	107606655	-	GENCODE
Sema3b	ENSMUST00000102529.3	chr9	107605401	-	GENCODE
Sema3b	ENSMUST00000102530.1	chr9	107607048	-	GENCODE
Sema3b	ENSMUST00000102531.1	chr9	107609192	-	GENCODE
Sema3b	ENSMUST00000102532.3	chr9	107609228	-	GENCODE
Sema3c	ENSMUST00000030568.7	chr5	17574280	+	GENCODE
Sema3d	ENSMUST00000030868.6	chr5	12383165	+	GENCODE
Sema3e	ENSMUST00000073957.6	chr5	14025316	+	GENCODE
Sema3f	ENSMUST00000080560.3	chr9	107710474	-	GENCODE
Sema3g	ENSMUST00000090180.2	chr14	31217859	+	GENCODE
Sema4a	ENSMUST00000029700.5	chr3	88455738	-	GENCODE
Sema4a	ENSMUST00000165898.1	chr3	88459100	-	GENCODE
Sema4a	ENSMUST00000166237.1	chr3	88461181	-	GENCODE
Sema4a	ENSMUST00000169222.1	chr3	88458883	-	GENCODE
Sema4b	ENSMUST00000032754.7	chr7	80186840	+	GENCODE
Sema4c	ENSMUST00000114990.1,ENSMUST00000027295.4	chr1	36557540	-	GENCODE
Sema4c	ENSMUST00000114991.1,ENSMUST00000114992.1	chr1	36558348	-	GENCODE
Sema4d	ENSMUST00000021900.7,ENSMUST00000110040.2	chr13	51793709	-	GENCODE
Sema4d	ENSMUST00000110039.1	chr13	51734762	-	GENCODE
Sema4f	ENSMUST00000000641.9	chr6	82939768	-	GENCODE
Sema4g	ENSMUST00000026225.8	chr19	44989100	+	GENCODE
Sema4g	ENSMUST00000179305.1	chr19	44992135	+	GENCODE
Sema5a	ENSMUST00000067458.6	chr15	32244812	+	GENCODE
Sema5b	ENSMUST00000050625.8	chr16	35541570	+	GENCODE
Sema6a	ENSMUST00000019791.7	chr18	47368829	-	GENCODE
Sema6a	ENSMUST00000156422.1	chr18	47333347	-	GENCODE
Sema6b	ENSMUST00000001256.4	chr17	56140342	-	GENCODE
Sema6b	ENSMUST00000167545.1	chr17	56133851	-	GENCODE
Sema6c	ENSMUST00000090823.1	chr3	95160504	+	GENCODE
Sema6d	ENSMUST00000103239.3	chr2	124610572	+	GENCODE
Sema7a	ENSMUST00000043059.7	chr9	57940112	+	GENCODE
Senp1	ENSMUST00000044189.9	chr15	98093743	-	GENCODE
Senp2	ENSMUST00000023561.7	chr16	22009483	+	GENCODE
Senp3	ENSMUST00000005336.2	chr11	69681845	-	GENCODE
Senp3	ENSMUST00000066760.1	chr11	69682083	-	GENCODE
Senp5	ENSMUST00000023457.5	chr16	32003286	-	GENCODE
Senp6	ENSMUST00000037484.8,ENSMUST00000164859.1	chr9	80066937	+	GENCODE
Senp6	ENSMUST00000165607.2	chr9	80067492	+	GENCODE
Senp7	ENSMUST00000089362.2,ENSMUST00000089360.3	chr16	56075408	+	GENCODE
Senp8	ENSMUST00000163586.1,ENSMUST00000177963.1,ENSMUST00000051039.4	chr9	59750648	-	GENCODE
Sep15	ENSMUST00000082437.3	chr3	144570425	+	GENCODE
Sephs1	ENSMUST00000027973.7	chr2	4881563	+	GENCODE
Sephs1	ENSMUST00000115019.1	chr2	4882244	+	GENCODE
Sephs2	ENSMUST00000082428.3	chr7	127273918	-	GENCODE
Sepn1	ENSMUST00000060435.6	chr4	134552165	-	GENCODE
Sepp1	ENSMUST00000082424.4,ENSMUST00000159216.1	chr15	3270843	+	GENCODE
Sepsecs	ENSMUST00000031069.6	chr5	52669728	-	GENCODE
Sept1	ENSMUST00000106314.1	chr7	127218497	-	GENCODE
Sept10	ENSMUST00000165971.1	chr10	59221846	-	GENCODE
Sept11	ENSMUST00000074733.7	chr5	93093456	+	GENCODE
Sept12	ENSMUST00000170323.2	chr16	4997851	-	GENCODE
Sept14	ENSMUST00000042266.6	chr5	129704258	-	GENCODE
Sept14	ENSMUST00000182386.1	chr5	129708510	-	GENCODE
Sept2	ENSMUST00000027495.8,ENSMUST00000179353.1,ENSMUST00000168776.1	chr1	93479005	+	GENCODE
Sept3	ENSMUST00000023095.6	chr15	82274934	+	GENCODE
Sept3	ENSMUST00000116423.1	chr15	82275246	+	GENCODE
Sept4	ENSMUST00000018544.5	chr11	87581040	+	GENCODE
Sept4	ENSMUST00000107962.1	chr11	87578400	+	GENCODE
Sept5	ENSMUST00000096987.5	chr16	18629937	-	GENCODE
Sept6	ENSMUST00000060474.7,ENSMUST00000053456.4	chrX	36989655	-	GENCODE
Sept7	ENSMUST00000115272.2,ENSMUST00000165594.2	chr9	25252438	+	GENCODE
Sept8	ENSMUST00000108987.1,ENSMUST00000117061.1	chr11	53519772	+	GENCODE
Sept9	ENSMUST00000019038.8	chr11	117266245	+	GENCODE
Sept9	ENSMUST00000093907.4	chr11	117199660	+	GENCODE
Sept9	ENSMUST00000100193.1	chr11	117331719	+	GENCODE
Sept9	ENSMUST00000106349.1	chr11	117332344	+	GENCODE
Sepw1	ENSMUST00000044355.7	chr7	15922401	-	GENCODE
Serac1	ENSMUST00000097432.3	chr17	6079740	-	GENCODE
Serbp1	ENSMUST00000042990.4	chr6	67266978	+	GENCODE
Serf1	ENSMUST00000142155.1,ENSMUST00000022145.8,ENSMUST00000129014.1	chr13	100108053	+	GENCODE
Serf2	ENSMUST00000139253.1	chr2	121449194	+	GENCODE
Sergef	ENSMUST00000033127.4	chr7	46639806	-	GENCODE
Serhl	ENSMUST00000078218.4	chr15	83100203	+	GENCODE
Serinc1	ENSMUST00000020027.4	chr10	57532529	-	GENCODE
Serinc2	ENSMUST00000105996.1	chr4	130275585	-	GENCODE
Serinc3	ENSMUST00000017851.3	chr2	163645130	-	GENCODE
Serinc4	ENSMUST00000056312.3	chr2	121456780	-	GENCODE
Serinc5	ENSMUST00000049488.7	chr13	92611137	+	GENCODE
Serp1	ENSMUST00000029385.7	chr3	58525872	-	GENCODE
Serp2	ENSMUST00000064517.7	chr14	76556686	-	GENCODE
Serpina10	ENSMUST00000044231.5	chr12	103631443	-	GENCODE
Serpina12	ENSMUST00000043915.3	chr12	104044442	-	GENCODE
Serpina1a	ENSMUST00000072876.5,ENSMUST00000085056.6	chr12	103863552	-	GENCODE
Serpina1b	ENSMUST00000095450.4	chr12	103738157	-	GENCODE
Serpina1b	ENSMUST00000164454.2	chr12	103830372	-	GENCODE
Serpina1c	ENSMUST00000074051.5	chr12	103904886	-	GENCODE
Serpina1d	ENSMUST00000078869.5	chr12	103773591	-	GENCODE
Serpina1e	ENSMUST00000085054.4	chr12	103956897	-	GENCODE
Serpina1e	ENSMUST00000122229.1	chr12	103958974	-	GENCODE
Serpina1f	ENSMUST00000021490.5	chr12	103695528	-	GENCODE
Serpina1f	ENSMUST00000118101.1	chr12	103694715	-	GENCODE
Serpina3a	ENSMUST00000021496.7	chr12	104115969	+	GENCODE
Serpina3b	ENSMUST00000085052.2	chr12	104127995	+	GENCODE
Serpina3c	ENSMUST00000085050.3	chr12	104153869	-	GENCODE
Serpina3f	ENSMUST00000121337.1,ENSMUST00000167049.1,ENSMUST00000101080.1	chr12	104214572	+	GENCODE
Serpina3g	ENSMUST00000043315.7	chr12	104236251	+	GENCODE
Serpina3i	ENSMUST00000109958.2	chr12	104263121	+	GENCODE
Serpina3j	ENSMUST00000109957.2	chr12	104314552	+	GENCODE
Serpina3k	ENSMUST00000043058.3	chr12	104338485	+	GENCODE
Serpina3m	ENSMUST00000101078.5	chr12	104338485	+	GENCODE
Serpina3m	ENSMUST00000168797.1	chr12	104387163	+	GENCODE
Serpina3n	ENSMUST00000021506.5	chr12	104406728	+	GENCODE
Serpina5	ENSMUST00000021495.3	chr12	104101112	+	GENCODE
Serpina6	ENSMUST00000044159.6	chr12	103657211	-	GENCODE
Serpina7	ENSMUST00000033626.8	chrX	139085214	-	GENCODE
Serpina9	ENSMUST00000058464.4	chr12	104013651	-	GENCODE
Serpinb10	ENSMUST00000182198.1	chr1	107535507	+	GENCODE
Serpinb11	ENSMUST00000027566.2	chr1	107361928	+	GENCODE
Serpinb12	ENSMUST00000081277.2	chr1	106934448	+	GENCODE
Serpinb12	ENSMUST00000112724.2	chr1	106938952	+	GENCODE
Serpinb13	ENSMUST00000027564.1	chr1	106980983	+	GENCODE
Serpinb1a	ENSMUST00000076352.6	chr13	32851184	-	GENCODE
Serpinb1b	ENSMUST00000016951.7	chr13	33084124	+	GENCODE
Serpinb1c	ENSMUST00000021834.3	chr13	32898160	-	GENCODE
Serpinb2	ENSMUST00000009356.4,ENSMUST00000064916.2	chr1	107511459	+	GENCODE
Serpinb3a	ENSMUST00000027567.7	chr1	107051796	-	GENCODE
Serpinb3a	ENSMUST00000112717.1	chr1	107052336	-	GENCODE
Serpinb3b	ENSMUST00000086694.4	chr1	107161113	-	GENCODE
Serpinb3b	ENSMUST00000166100.1	chr1	107278360	-	GENCODE
Serpinb3c	ENSMUST00000027565.4	chr1	107278370	-	GENCODE
Serpinb3d	ENSMUST00000023861.3	chr1	107083479	-	GENCODE
Serpinb5	ENSMUST00000086701.6,ENSMUST00000112730.1	chr1	106861187	+	GENCODE
Serpinb5	ENSMUST00000112729.1	chr1	106870233	+	GENCODE
Serpinb6a	ENSMUST00000043552.10	chr13	33936197	-	GENCODE
Serpinb6b	ENSMUST00000110293.2	chr13	32965208	+	GENCODE
Serpinb6c	ENSMUST00000110273.1	chr13	33905169	-	GENCODE
Serpinb6c	ENSMUST00000172184.1	chr13	33905707	-	GENCODE
Serpinb6d	ENSMUST00000059637.7	chr13	33661404	+	GENCODE
Serpinb6e	ENSMUST00000110275.1	chr13	33843407	-	GENCODE
Serpinb7	ENSMUST00000112710.1,ENSMUST00000086690.4	chr1	107422688	+	GENCODE
Serpinb8	ENSMUST00000112706.2,ENSMUST00000000514.4	chr1	107590005	+	GENCODE
Serpinb9	ENSMUST00000006391.4	chr13	33004540	+	GENCODE
Serpinb9	ENSMUST00000063191.7	chr13	33003249	+	GENCODE
Serpinb9b	ENSMUST00000006392.2	chr13	33027415	+	GENCODE
Serpinb9c	ENSMUST00000021837.3	chr13	33159741	-	GENCODE
Serpinb9d	ENSMUST00000067198.2	chr13	33192958	+	GENCODE
Serpinb9e	ENSMUST00000071873.2	chr13	33249611	+	GENCODE
Serpinb9f	ENSMUST00000075515.6	chr13	33324076	+	GENCODE
Serpinb9g	ENSMUST00000081927.2	chr13	33484789	+	GENCODE
Serpinc1	ENSMUST00000064725.5	chr1	160978605	+	GENCODE
Serpind1	ENSMUST00000023450.6,ENSMUST00000161034.1	chr16	17331376	+	GENCODE
Serpine1	ENSMUST00000041388.4,ENSMUST00000077523.3	chr5	137072262	-	GENCODE
Serpine2	ENSMUST00000027467.4	chr1	79858695	-	GENCODE
Serpine3	ENSMUST00000171692.1	chr14	62663666	+	GENCODE
Serpinf1	ENSMUST00000000769.7	chr11	75422700	-	GENCODE
Serpinf2	ENSMUST00000043696.2	chr11	75439500	-	GENCODE
Serpinf2	ENSMUST00000108437.1	chr11	75438899	-	GENCODE
Serping1	ENSMUST00000023994.3	chr2	84775403	-	GENCODE
Serpinh1	ENSMUST00000169437.1,ENSMUST00000094154.4	chr7	99353229	-	GENCODE
Serpini1	ENSMUST00000029423.8	chr3	75557546	+	GENCODE
Serpini2	ENSMUST00000039047.4	chr3	75270077	-	GENCODE
Sertad1	ENSMUST00000008528.7	chr7	27486909	+	GENCODE
Sertad2	ENSMUST00000093292.4	chr11	20543333	+	GENCODE
Sertad2	ENSMUST00000109585.1	chr11	20647154	+	GENCODE
Sertad2	ENSMUST00000109586.2	chr11	20631978	+	GENCODE
Sertad3	ENSMUST00000068641.6	chr7	27473767	+	GENCODE
Sertad4	ENSMUST00000016406.7	chr1	192851746	-	GENCODE
Sertad4	ENSMUST00000155579.1	chr1	192855751	-	GENCODE
Sertm1	ENSMUST00000070342.3	chr3	54915886	-	GENCODE
Sertm1	ENSMUST00000162201.1	chr3	54915030	-	GENCODE
Sesn1	ENSMUST00000099931.3	chr10	41810573	+	GENCODE
Sesn2	ENSMUST00000030724.8	chr4	132510500	-	GENCODE
Sesn3	ENSMUST00000034507.7	chr9	14276300	+	GENCODE
Sestd1	ENSMUST00000102659.1	chr2	77280591	-	GENCODE
Sestd1	ENSMUST00000102660.1	chr2	77265767	-	GENCODE
Set	ENSMUST00000067996.6	chr2	30066455	+	GENCODE
Setbp1	ENSMUST00000161465.2	chr18	79109390	-	GENCODE
Setd1a	ENSMUST00000047157.6	chr7	127777388	+	GENCODE
Setd1b	ENSMUST00000056053.8	chr5	123142956	+	GENCODE
Setd1b	ENSMUST00000174836.1,ENSMUST00000163030.2	chr5	123142192	+	GENCODE
Setd2	ENSMUST00000153838.2	chr9	110532596	+	GENCODE
Setd3	ENSMUST00000071095.7	chr12	108179313	-	GENCODE
Setd4	ENSMUST00000023669.5,ENSMUST00000113951.2	chr16	93603808	-	GENCODE
Setd5	ENSMUST00000042889.5	chr6	113077364	+	GENCODE
Setd6	ENSMUST00000034096.4	chr8	95715931	+	GENCODE
Setd7	ENSMUST00000037141.7	chr3	51560877	-	GENCODE
Setd8	ENSMUST00000059580.4	chr5	124439929	+	GENCODE
Setdb1	ENSMUST00000107171.3,ENSMUST00000015841.5,ENSMUST00000107170.2	chr3	95357185	-	GENCODE
Setdb2	ENSMUST00000161459.1,ENSMUST00000095775.3	chr14	59440879	-	GENCODE
Setmar	ENSMUST00000049246.6	chr6	108065044	+	GENCODE
Setx	ENSMUST00000061578.2	chr2	29124991	+	GENCODE
Sez6	ENSMUST00000093995.3	chr11	77930799	+	GENCODE
Sez6l	ENSMUST00000079491.7,ENSMUST00000075387.6	chr5	112577197	-	GENCODE
Sez6l2	ENSMUST00000106335.1,ENSMUST00000106333.1	chr7	126950645	+	GENCODE
Sf1	ENSMUST00000113487.1	chr19	6363921	+	GENCODE
Sf1	ENSMUST00000131252.1	chr19	6363689	+	GENCODE
Sf3a1	ENSMUST00000002198.3	chr11	4160349	+	GENCODE
Sf3a2	ENSMUST00000148665.1	chr10	80798197	+	GENCODE
Sf3a3	ENSMUST00000030734.4	chr4	124714775	+	GENCODE
Sf3b1	ENSMUST00000027127.7	chr1	55027477	-	GENCODE
Sf3b2	ENSMUST00000025774.9	chr19	5295454	-	GENCODE
Sf3b3	ENSMUST00000042012.5	chr8	110846802	-	GENCODE
Sf3b4	ENSMUST00000076372.4	chr3	96172331	+	GENCODE
Sf3b5	ENSMUST00000105139.3	chr10	13008449	+	GENCODE
Sfi1	ENSMUST00000081318.6,ENSMUST00000066391.7	chr11	3193434	-	GENCODE
Sfi1	ENSMUST00000101655.3,ENSMUST00000153425.2,ENSMUST00000140846.2	chr11	3189053	-	GENCODE
Sfi1	ENSMUST00000155763.1	chr11	3187354	-	GENCODE
Sfmbt1	ENSMUST00000054230.4	chr14	30715614	+	GENCODE
Sfmbt1	ENSMUST00000112177.1	chr14	30716490	+	GENCODE
Sfmbt1	ENSMUST00000112184.1	chr14	30714848	+	GENCODE
Sfmbt2	ENSMUST00000116594.2,ENSMUST00000041105.6	chr2	10372442	+	GENCODE
Sfn	ENSMUST00000057311.3	chr4	133602167	-	GENCODE
Sfpq	ENSMUST00000030623.7	chr4	127021323	+	GENCODE
Sfr1	ENSMUST00000099353.4	chr19	47731755	+	GENCODE
Sfrp1	ENSMUST00000033952.7	chr8	23411501	+	GENCODE
Sfrp2	ENSMUST00000029625.7	chr3	83766320	+	GENCODE
Sfrp4	ENSMUST00000002883.5	chr13	19623174	+	GENCODE
Sfrp5	ENSMUST00000018966.7	chr19	42202251	-	GENCODE
Sfrs18	ENSMUST00000098238.2	chr4	21848054	+	GENCODE
Sfswap	ENSMUST00000053737.7	chr5	129501230	+	GENCODE
Sft2d1	ENSMUST00000154553.1	chr17	8311101	+	GENCODE
Sft2d2	ENSMUST00000043338.4	chr1	165194432	-	GENCODE
Sft2d3	ENSMUST00000054984.6	chr18	31911902	-	GENCODE
Sfta2	ENSMUST00000171166.2	chr17	35649707	+	GENCODE
Sftpa1	ENSMUST00000022314.3,ENSMUST00000170719.1	chr14	41131784	+	GENCODE
Sftpb	ENSMUST00000070437.8	chr6	72304624	+	GENCODE
Sftpc	ENSMUST00000022692.3	chr14	70524080	-	GENCODE
Sftpd	ENSMUST00000077136.3	chr14	41185197	-	GENCODE
Sfxn1	ENSMUST00000021930.8	chr13	54071844	+	GENCODE
Sfxn2	ENSMUST00000026011.6	chr19	46573364	+	GENCODE
Sfxn3	ENSMUST00000062213.5	chr19	45047575	+	GENCODE
Sfxn4	ENSMUST00000135808.1	chr19	60861478	-	GENCODE
Sfxn5	ENSMUST00000045846.5	chr6	85333421	-	GENCODE
Sgca	ENSMUST00000100551.4	chr11	94973462	-	GENCODE
Sgca	ENSMUST00000103162.1,ENSMUST00000166320.1	chr11	94976326	-	GENCODE
Sgcb	ENSMUST00000081170.7	chr5	73647712	-	GENCODE
Sgcd	ENSMUST00000077221.5	chr11	47379521	-	GENCODE
Sgce	ENSMUST00000115579.1	chr6	4747203	-	GENCODE
Sgcg	ENSMUST00000077954.5,ENSMUST00000121148.1	chr14	61258456	-	GENCODE
Sgcz	ENSMUST00000118896.1	chr8	38661507	-	GENCODE
Sgip1	ENSMUST00000066824.7	chr4	102760134	+	GENCODE
Sgip1	ENSMUST00000072481.5,ENSMUST00000080728.6,ENSMUST00000106882.2	chr4	102760410	+	GENCODE
Sgk1	ENSMUST00000020145.5	chr10	21994665	+	GENCODE
Sgk2	ENSMUST00000018012.7	chr2	162987329	+	GENCODE
Sgk3	ENSMUST00000097826.4	chr1	9848396	+	GENCODE
Sgk3	ENSMUST00000168907.1,ENSMUST00000166384.1	chr1	9798129	+	GENCODE
Sgk3	ENSMUST00000171265.1	chr1	9848280	+	GENCODE
Sgms1	ENSMUST00000099514.3	chr19	32388511	-	GENCODE
