gene	transcript	chromosome	strand	TSS source	primary TSS	secondary TSS
STARD6	ENST00000307844.3	chr18	-	Annotation	(51880942.0, 51880942.0)	(51880942.0, 51880942.0)
STARD6	ENST00000581310.1	chr18	-	CAGE permissive peak	(51884285, 51884299)	(51884155, 51884162)
STARD7	P1P2	chr2	-	CAGE, matched peaks	(96874553, 96874572)	(96873986, 96874086)
STARD8	all	chrX	+	CAGE, robust peak	(67867488, 67867510)	(67867572, 67867580)
STARD9	P1P2	chr15	+	CAGE, matched peaks	(42867863, 42867884)	(42867892, 42867910)
STAT1	P1P2	chr2	-	CAGE, matched peaks	(191878874, 191878938)	(191878812, 191878823)
STAT2	P1P2	chr12	-	CAGE, matched peaks	(56753869, 56753930)	(56753939, 56753951)
STAT3	P1P2	chr17	-	CAGE, matched peaks	(40540377, 40540481)	(40540484, 40540537)
STAT4	P1P2	chr2	-	CAGE, matched peaks	(192015701, 192015743)	(192015750, 192015793)
STAT5A	P1P2	chr17	+	CAGE, matched peaks	(40440481, 40440550)	(40441354, 40441410)
STAT5B	P1P2	chr17	-	CAGE, matched peaks	(40428359, 40428462)	(40428334, 40428345)
STAT6	P1P2	chr12	-	CAGE, matched peaks	(57505121, 57505179)	(57504975, 57505019)
STAU1	P1P2	chr20	-	CAGE, matched peaks	(47804860, 47804892)	(47804894, 47804912)
STAU2	P1P2	chr8	-	CAGE, matched peaks	(74659068, 74659082)	(74659693, 74659742)
STBD1	P1P2	chr4	+	CAGE, matched peaks	(77227870, 77227903)	(77227870, 77227903)
STC1	P1P2	chr8	-	CAGE, matched peaks	(23712312, 23712328)	(23712312, 23712328)
STC2	P1P2	chr5	-	CAGE, matched peaks	(172755410, 172755426)	(172755444, 172755455)
STEAP1	P1P2	chr7	+	CAGE, matched peaks	(89783766, 89783821)	(89783740, 89783755)
STEAP1B	P1P2	chr7	-	CAGE, matched peaks	(22539771, 22539821)	(22539754, 22539765)
STEAP2	P1P2	chr7	+	CAGE, matched peaks	(89841144, 89841246)	(89841024, 89841094)
STEAP3	P1P2	chr2	+	CAGE, matched peaks	(119981391, 119981446)	(119981391, 119981446)
STIL	P1P2	chr1	-	CAGE, matched peaks	(47779762, 47779827)	(47779729, 47779744)
STIM1	P1P2	chr11	+	CAGE, matched peaks	(3876859, 3876937)	(3876379, 3876454)
STIM2	P1P2	chr4	+	CAGE, matched peaks	(26862558, 26862576)	(26862431, 26862483)
STIP1	P1P2	chr11	+	CAGE, matched peaks	(63953635, 63953685)	(63953691, 63953713)
STK10	P1P2	chr5	-	CAGE, matched peaks	(171615189, 171615266)	(171615315, 171615383)
STK11	P1	chr19	+	CAGE, matched peaks	(1205762, 1205792)	(1205762, 1205792)
STK11	P2	chr19	+	CAGE, matched peaks	(1206808, 1206821)	(1206808, 1206821)
STK11IP	P1P2	chr2	+	CAGE, matched peaks	(220462560, 220462604)	(220462809, 220462873)
STK16	P1P2	chr2	+	CAGE, matched peaks	(220110186, 220110262)	(220110186, 220110262)
STK17A	P1P2	chr7	+	CAGE, matched peaks	(43622697, 43622719)	(43622583, 43622619)
STK17B	P1P2	chr2	-	CAGE, matched peaks	(197036289, 197036314)	(197036269, 197036287)
STK19	P1P2	chr6	+	CAGE, matched peaks	(31940091, 31940177)	(31940314, 31940393)
STK24	P1P2	chr13	-	CAGE, matched peaks	(99229352, 99229369)	(99229394, 99229411)
STK25	P1P2	chr2	-	CAGE, matched peaks	(242447983, 242448034)	(242447732, 242447779)
STK3	P1P2	chr8	-	CAGE, matched peaks	(99837856, 99837955)	(99837820, 99837831)
STK31	P1P2	chr7	+	CAGE, matched peaks	(23749854, 23749881)	(23749832, 23749845)
STK32A	P1P2	chr5	+	CAGE, matched peaks	(146614583, 146614671)	(146614583, 146614671)
STK32B	P1P2	chr4	+	CAGE, matched peaks	(5053198, 5053271)	(5053134, 5053153)
STK32C	P1	chr10	-	CAGE, matched peaks	(134121438, 134121485)	(134121438, 134121485)
STK32C	P2	chr10	-	CAGE, matched peaks	(134145321, 134145369)	(134145321, 134145369)
STK33	P1P2	chr11	-	CAGE, matched peaks	(8615720, 8615813)	(8615687, 8615711)
STK35	P1P2	chr20	+	CAGE, matched peaks	(2083540, 2083607)	(2083278, 2083315)
STK36	P1P2	chr2	+	CAGE, matched peaks	(219537015, 219537064)	(219536749, 219536815)
STK38	P1P2	chr6	-	CAGE, matched peaks	(36515177, 36515270)	(36515092, 36515172)
STK38L	P1P2	chr12	+	CAGE, matched peaks	(27397170, 27397240)	(27397050, 27397061)
STK39	P1P2	chr2	-	CAGE, matched peaks	(169104079, 169104121)	(169103990, 169104048)
STK4	P1	chr20	+	CAGE, matched peaks	(43595119, 43595220)	(43595119, 43595220)
STK4	P2	chr20	+	CAGE, matched peaks	(43599007, 43599020)	(43599007, 43599020)
STK40	P1P2	chr1	-	CAGE, matched peaks	(36851490, 36851533)	(36851458, 36851472)
STMN1	P1P2	chr1	-	CAGE, matched peaks	(26232902, 26232918)	(26232951, 26232959)
STMN2	P1P2	chr8	+	CAGE, matched peaks	(80523321, 80523382)	(80523302, 80523319)
STMN3	P1P2	chr20	-	CAGE, matched peaks	(62284766, 62284785)	(62284790, 62284807)
STMN4	P1P2	chr8	-	CAGE, matched peaks	(27115909, 27115927)	(27115931, 27115942)
STOM	P1P2	chr9	-	CAGE, matched peaks	(124132513, 124132536)	(124132553, 124132564)
STOML1	P1P2	chr15	-	CAGE, matched peaks	(74284558, 74284598)	(74284613, 74284653)
STOML2	P1P2	chr9	-	CAGE, matched peaks	(35103105, 35103154)	(35103159, 35103173)
STOML3	P1P2	chr13	-	CAGE, matched peaks	(39564962, 39564973)	(39564993, 39565002)
STON1	P1P2	chr2	+	CAGE, matched peaks	(48757278, 48757337)	(48757351, 48757364)
STON1-GTF2A1L	P1P2	chr2	+	CAGE, matched peaks	(48796120, 48796136)	(48796087, 48796104)
STON2	all	chr14	-	Annotation	(81864926.0, 81864926.0)	(81864926.0, 81864926.0)
STOX1	P1P2	chr10	+	CAGE, matched peaks	(70587279, 70587304)	(70587247, 70587272)
STPG1	P1P2	chr1	-	CAGE, matched peaks	(24740207, 24740283)	(24740182, 24740203)
STPG2	P1P2	chr4	-	CAGE, matched peaks	(99064579, 99064636)	(99064387, 99064427)
STRA13	P1P2	chr17	-	CAGE, matched peaks	(79980742, 79980773)	(79980742, 79980773)
STRA6	P1P2	chr15	-	CAGE, matched peaks	(74495084, 74495137)	(74494779, 74494799)
STRA8	all	chr7	+	Annotation	(134916730.0, 134916730.0)	(134916730.0, 134916730.0)
STRADA	P1P2	chr17	-	CAGE, matched peaks	(61819121, 61819219)	(61819229, 61819243)
STRADB	P1P2	chr2	+	CAGE, matched peaks	(202316434, 202316491)	(202316513, 202316544)
STRAP	P1P2	chr12	+	CAGE, matched peaks	(16035307, 16035352)	(16035307, 16035352)
STRBP	P1P2	chr9	-	CAGE, matched peaks	(126030817, 126030906)	(126030793, 126030806)
STRIP1	P1P2	chr1	+	CAGE, matched peaks	(110577229, 110577258)	(110577229, 110577258)
STRIP2	P1P2	chr7	+	CAGE, matched peaks	(129074266, 129074306)	(129074244, 129074247)
STRN	P1P2	chr2	-	CAGE, matched peaks	(37193648, 37193760)	(37193648, 37193760)
STRN3	P1P2	chr14	-	CAGE, matched peaks	(31495569, 31495636)	(31495421, 31495463)
STRN4	P1P2	chr19	-	CAGE, matched peaks	(47249679, 47249725)	(47249679, 47249725)
STS	all	chrX	+	CAGE, robust peak	(7137475, 7137504)	(7137603, 7137610)
STT3A	P1P2	chr11	+	CAGE, matched peaks	(125462725, 125462768)	(125462771, 125462784)
STT3B	P1P2	chr3	+	CAGE, matched peaks	(31574393, 31574447)	(31574452, 31574476)
STUB1	P1P2	chr16	+	CAGE, matched peaks	(730379, 730449)	(730063, 730127)
STX10	P1P2	chr19	-	CAGE, matched peaks	(13261090, 13261143)	(13261035, 13261082)
STX11	P1P2	chr6	+	CAGE, matched peaks	(144471643, 144471660)	(144471637, 144471640)
STX12	P1P2	chr1	+	CAGE, matched peaks	(28099700, 28099779)	(28099683, 28099694)
STX16	P1P2	chr20	+	CAGE, matched peaks	(57226284, 57226345)	(57226841, 57226899)
STX17	P1P2	chr9	+	CAGE, matched peaks	(102668928, 102668967)	(102668928, 102668967)
STX18	P1P2	chr4	-	CAGE, matched peaks	(4543700, 4543759)	(4543761, 4543795)
STX19	P1P2	chr3	-	CAGE, matched peaks	(93747425, 93747450)	(93747459, 93747476)
STX1A	P1P2	chr7	-	CAGE, matched peaks	(73133959, 73134022)	(73134027, 73134036)
STX1B	P1P2	chr16	-	CAGE, matched peaks	(31021921, 31022044)	(31022196, 31022218)
STX2	P1P2	chr12	-	CAGE, matched peaks	(131323754, 131323820)	(131323719, 131323746)
STX3	P1P2	chr11	+	CAGE, matched peaks	(59522837, 59522862)	(59522900, 59522936)
STX4	P1P2	chr16	+	CAGE, matched peaks	(31044835, 31044931)	(31044413, 31044418)
STX5	P1P2	chr11	-	CAGE, matched peaks	(62599505, 62599556)	(62599490, 62599501)
STX6	P1P2	chr1	-	CAGE, matched peaks	(180991978, 180992085)	(180991978, 180992085)
STX7	P1P2	chr6	-	CAGE, matched peaks	(132834184, 132834263)	(132834184, 132834263)
STX8	P1P2	chr17	-	CAGE, matched peaks	(9479128, 9479181)	(9479239, 9479246)
STXBP1	P1P2	chr9	+	CAGE, matched peaks	(130374537, 130374562)	(130374503, 130374514)
STXBP2	P1P2	chr19	+	CAGE, matched peaks	(7701985, 7702038)	(7701985, 7702038)
STXBP3	P1P2	chr1	+	CAGE, matched peaks	(109289279, 109289331)	(109289251, 109289276)
STXBP4	P1P2	chr17	+	CAGE, matched peaks	(53046096, 53046157)	(53046070, 53046095)
STXBP5	P1P2	chr6	+	CAGE, matched peaks	(147524814, 147524907)	(147525064, 147525118)
STXBP5L	P1P2	chr3	+	CAGE, matched peaks	(120627034, 120627102)	(120627034, 120627102)
STXBP6	P1P2	chr14	-	CAGE, matched peaks	(25519205, 25519280)	(25519317, 25519379)
STYK1	P1P2	chr12	-	CAGE, matched peaks	(10826612, 10826705)	(10826591, 10826601)
STYX	P1P2	chr14	+	CAGE, matched peaks	(53196872, 53196959)	(53196872, 53196959)
STYXL1	P1P2	chr7	-	CAGE, matched peaks	(75677251, 75677337)	(75677125, 75677164)
SUB1	P1	chr5	+	CAGE, matched peaks	(32585655, 32585686)	(32585655, 32585686)
SUB1	P2	chr5	+	CAGE, matched peaks	(32531931, 32531951)	(32531931, 32531951)
SUCLA2	P1P2	chr13	-	CAGE, matched peaks	(48575401, 48575438)	(48575401, 48575438)
SUCLG1	P1P2	chr2	-	CAGE, matched peaks	(84686356, 84686417)	(84686552, 84686624)
SUCLG2	P1P2	chr3	-	CAGE, matched peaks	(67705006, 67705046)	(67705006, 67705046)
SUCNR1	P1P2	chr3	+	CAGE, matched peaks	(151591422, 151591440)	(151591422, 151591440)
SUCO	P1P2	chr1	+	CAGE, matched peaks	(172502244, 172502333)	(172502144, 172502186)
SUDS3	P1P2	chr12	+	CAGE, matched peaks	(118814344, 118814369)	(118814299, 118814332)
SUFU	P1P2	chr10	+	CAGE, matched peaks	(104263713, 104263740)	(104263743, 104263798)
SUGP1	P1P2	chr19	-	CAGE, matched peaks	(19431298, 19431326)	(19431298, 19431326)
SUGP2	P1P2	chr19	-	CAGE, matched peaks	(19144289, 19144352)	(19144609, 19144671)
SUGT1	P1P2	chr13	+	CAGE, matched peaks	(53226963, 53227023)	(53227030, 53227050)
SULF1	P1	chr8	+	CAGE, matched peaks	(70405073, 70405088)	(70405073, 70405088)
SULF1	P2	chr8	+	CAGE, matched peaks	(70378989, 70379039)	(70378989, 70379039)
SULF2	P1P2	chr20	-	CAGE, matched peaks	(46414183, 46414264)	(46414701, 46414819)
SULT1A1	P1P2	chr16	-	CAGE, matched peaks	(28621312, 28621350)	(28621355, 28621379)
SULT1A2	P1P2	chr16	-	CAGE, matched peaks	(28608364, 28608377)	(28608399, 28608412)
SULT1A3	ENST00000338971.5	chr16	+	Annotation	(30210551.0, 30210551.0)	(30210551.0, 30210551.0)
SULT1A3	ENST00000354723.6,ENST00000355544.5	chr16	+	Annotation	(30205786.0, 30205786.0)	(30205786.0, 30205786.0)
SULT1A3	ENST00000355544.5	chr16	+	Annotation	(30205819.0, 30205819.0)	(30205819.0, 30205819.0)
SULT1A3	ENST00000395137.2	chr16	+	Annotation	(30207121.0, 30207121.0)	(30207121.0, 30207121.0)
SULT1A3	ENST00000395138.2	chr16	+	Annotation	(30211180.0, 30211180.0)	(30211180.0, 30211180.0)
SULT1A3	ENST00000563322.1	chr16	+	Annotation	(30212049.0, 30212049.0)	(30212049.0, 30212049.0)
SULT1A4	ENST00000344620.6	chr16	+	Annotation	(29467126.0, 29467126.0)	(29467126.0, 29467126.0)
SULT1A4	ENST00000360423.7	chr16	+	Annotation	(29471209.0, 29471209.0)	(29471209.0, 29471209.0)
SULT1A4	ENST00000395400.3	chr16	+	Annotation	(29467779.0, 29467779.0)	(29467779.0, 29467779.0)
SULT1A4	ENST00000565290.1	chr16	+	Annotation	(29472706.0, 29472706.0)	(29472706.0, 29472706.0)
SULT1B1	P1P2	chr4	-	CAGE, matched peaks	(70626247, 70626283)	(70626328, 70626351)
SULT1C2	P1P2	chr2	+	CAGE, matched peaks	(108905325, 108905378)	(108905469, 108905502)
SULT1C3	all	chr2	+	Annotation	(108863650.0, 108863650.0)	(108863650.0, 108863650.0)
SULT1C4	P1P2	chr2	+	CAGE, matched peaks	(108994403, 108994461)	(108994565, 108994623)
SULT1E1	P1P2	chr4	-	CAGE, matched peaks	(70725856, 70725871)	(70725856, 70725871)
SULT2A1	P1P2	chr19	-	CAGE, matched peaks	(48389565, 48389606)	(48389565, 48389606)
SULT2B1	P1P2	chr19	+	CAGE, matched peaks	(49055416, 49055451)	(49055390, 49055410)
SULT4A1	P1P2	chr22	-	CAGE, matched peaks	(44258280, 44258336)	(44258360, 44258402)
SUMF1	P1P2	chr3	-	CAGE, matched peaks	(4508925, 4508962)	(4508739, 4508751)
SUMF2	P1	chr7	+	CAGE, matched peaks	(56131942, 56132009)	(56131942, 56132009)
SUMF2	P2	chr7	+	CAGE, matched peaks	(56147976, 56147979)	(56147976, 56147979)
SUMO1	P1P2	chr2	-	CAGE, matched peaks	(203103281, 203103327)	(203103241, 203103254)
SUMO2	P1P2	chr17	-	CAGE, matched peaks	(73179046, 73179070)	(73179228, 73179247)
SUMO3	P1P2	chr21	-	CAGE, matched peaks	(46237959, 46238011)	(46238034, 46238051)
SUMO4	P1P2	chr6	+	CAGE, matched peaks	(149721396, 149721410)	(149721396, 149721410)
SUN1	P1	chr7	+	CAGE, matched peaks	(856246, 856289)	(856246, 856289)
SUN1	P2	chr7	+	CAGE, matched peaks	(872107, 872145)	(872107, 872145)
SUN2	P1P2	chr22	-	CAGE, matched peaks	(39151995, 39152045)	(39151975, 39151994)
SUN3	P1	chr7	-	CAGE, matched peaks	(48039832, 48039849)	(48039832, 48039849)
SUN3	P2	chr7	-	CAGE, matched peaks	(48068671, 48068695)	(48068671, 48068695)
SUOX	P1P2	chr12	+	CAGE, matched peaks	(56391036, 56391107)	(56391036, 56391107)
SUPT16H	P1P2	chr14	-	CAGE, matched peaks	(21852148, 21852186)	(21852119, 21852143)
SUPT20H	P1P2	chr13	-	CAGE, matched peaks	(37633743, 37633840)	(37633604, 37633625)
SUPT20HL1	P1P2	chrX	+	CAGE, matched peaks	(24380454, 24380462)	(24380454, 24380462)
SUPT3H	P1P2	chr6	-	CAGE, matched peaks	(45345597, 45345721)	(45345544, 45345586)
SUPT4H1	P1P2	chr17	-	CAGE, matched peaks	(56429500, 56429584)	(56429727, 56429765)
SUPT5H	P1P2	chr19	+	CAGE, matched peaks	(39936207, 39936259)	(39936267, 39936311)
SUPT6H	P1P2	chr17	+	CAGE, matched peaks	(26989201, 26989248)	(26989255, 26989297)
SUPT7L	P1P2	chr2	-	CAGE, matched peaks	(27886460, 27886511)	(27886432, 27886452)
SUPV3L1	P1P2	chr10	+	CAGE, matched peaks	(70939983, 70940040)	(70939983, 70940040)
SURF1	P1P2	chr9	-	CAGE, matched peaks	(136223324, 136223371)	(136223324, 136223371)
SURF2	P1P2	chr9	+	CAGE, matched peaks	(136223414, 136223474)	(136223395, 136223407)
SURF4	P1P2	chr9	-	CAGE, matched peaks	(136242909, 136242953)	(136242956, 136242976)
SURF6	P1P2	chr9	-	CAGE, matched peaks	(136203006, 136203055)	(136202985, 136203005)
SUSD1	P1P2	chr9	-	CAGE, matched peaks	(114937563, 114937655)	(114937699, 114937726)
SUSD2	P1P2	chr22	+	CAGE, matched peaks	(24577444, 24577465)	(24577183, 24577194)
SUSD3	P1P2	chr9	+	CAGE, matched peaks	(95820966, 95821019)	(95820966, 95821019)
SUV39H1	P1P2	chrX	+	CAGE, matched peaks	(48555110, 48555164)	(48554933, 48554978)
SUV39H2	P1P2	chr10	+	CAGE, matched peaks	(14920843, 14920886)	(14920776, 14920787)
SUV420H1	P1P2	chr11	-	CAGE, matched peaks	(67981046, 67981159)	(67980744, 67980799)
SUV420H2	P1P2	chr19	+	CAGE, matched peaks	(55851236, 55851285)	(55851236, 55851285)
SUZ12	P1P2	chr17	+	CAGE, matched peaks	(30264014, 30264042)	(30264052, 30264088)
SV2A	P1P2	chr1	-	CAGE, matched peaks	(149889382, 149889404)	(149889362, 149889373)
SV2B	P1P2	chr15	+	CAGE, matched peaks	(91643442, 91643521)	(91643259, 91643283)
SV2C	P1P2	chr5	+	CAGE, matched peaks	(75379186, 75379220)	(75379224, 75379243)
SVEP1	P1P2	chr9	-	CAGE, matched peaks	(113341985, 113342040)	(113341836, 113341899)
SVIL	P1	chr10	-	CAGE, matched peaks	(29923893, 29923907)	(29923893, 29923907)
SVIL	P2	chr10	-	CAGE, matched peaks	(30025857, 30025872)	(30025857, 30025872)
SVIP	P1P2	chr11	-	CAGE, matched peaks	(22851367, 22851397)	(22851339, 22851356)
SVOP	all	chr12	-	Annotation	(109372438.0, 109372438.0)	(109372438.0, 109372438.0)
SVOPL	all	chr7	-	Annotation	(138363823.0, 138363823.0)	(138363823.0, 138363823.0)
SWAP70	P1P2	chr11	+	CAGE, matched peaks	(9685604, 9685706)	(9685751, 9685772)
SWI5	P1P2	chr9	+	CAGE, matched peaks	(131038514, 131038579)	(131037623, 131037664)
SWSAP1	P1P2	chr19	+	CAGE, matched peaks	(11485333, 11485367)	(11485375, 11485394)
SWT1	P1P2	chr1	+	CAGE, matched peaks	(185126385, 185126431)	(185126598, 185126655)
SYAP1	P1P2	chrX	+	CAGE, matched peaks	(16737718, 16737778)	(16737783, 16737800)
SYBU	P1	chr8	-	CAGE, matched peaks	(110656995, 110657075)	(110656995, 110657075)
SYBU	P2	chr8	-	CAGE, matched peaks	(110660999, 110661051)	(110660999, 110661051)
SYCE1	P1P2	chr10	-	CAGE, matched peaks	(135379045, 135379073)	(135379074, 135379092)
SYCE1L	P1P2	chr16	+	CAGE, matched peaks	(77246202, 77246229)	(77246148, 77246201)
SYCE2	P1P2	chr19	-	CAGE, matched peaks	(13030071, 13030115)	(13030071, 13030115)
SYCN	P1P2	chr19	-	CAGE, matched peaks	(39694894, 39694909)	(39694894, 39694909)
SYCP1	P1P2	chr1	+	CAGE, matched peaks	(115397479, 115397490)	(115397453, 115397468)
SYCP2	P1P2	chr20	-	CAGE, matched peaks	(58508681, 58508698)	(58508359, 58508420)
SYCP2L	all	chr6	+	CAGE, robust peak	(10887053, 10887055)	(10887194, 10887205)
SYCP3	P1P2	chr12	-	CAGE, matched peaks	(102133233, 102133245)	(102133233, 102133245)
SYDE2	P1P2	chr1	-	CAGE, matched peaks	(85666688, 85666718)	(85666655, 85666675)
SYF2	P1P2	chr1	-	CAGE, matched peaks	(25558984, 25559000)	(25558963, 25558980)
SYK	P1	chr9	+	CAGE, matched peaks	(93564039, 93564107)	(93564039, 93564107)
SYK	P2	chr9	+	CAGE, matched peaks	(93589662, 93589730)	(93589662, 93589730)
SYMPK	P1P2	chr19	-	CAGE, matched peaks	(46366392, 46366430)	(46366507, 46366554)
SYN1	P1P2	chrX	-	CAGE, matched peaks	(47479246, 47479272)	(47479282, 47479295)
SYN2	P1P2	chr3	+	CAGE, matched peaks	(12045853, 12045869)	(12045814, 12045834)
SYN3	P1P2	chr22	-	CAGE, matched peaks	(33454354, 33454374)	(33454330, 33454348)
SYNC	P1P2	chr1	-	CAGE, matched peaks	(33168336, 33168386)	(33168390, 33168404)
SYNCRIP	P1P2	chr6	-	CAGE, matched peaks	(86352982, 86353073)	(86352642, 86352701)
SYNE1	ENST00000367255.5,ENST00000265368.4,ENST00000448038.1	chr6	-	CAGE, robust peak	(152958521, 152958549)	(152958366, 152958381)
SYNE1	ENST00000423061.1	chr6	-	CAGE, robust peak	(152958167, 152958179)	(152957909, 152957926)
SYNE2	P1P2	chr14	+	CAGE, matched peaks	(64319669, 64319739)	(64319669, 64319739)
SYNE3	all	chr14	-	Annotation	(95942172.0, 95942172.0)	(95942172.0, 95942172.0)
SYNE4	P1P2	chr19	-	CAGE, matched peaks	(36499638, 36499720)	(36500328, 36500346)
SYNGR1	P1P2	chr22	+	CAGE, matched peaks	(39745939, 39746012)	(39745860, 39745869)
SYNGR2	P1P2	chr17	+	CAGE, matched peaks	(76164646, 76164685)	(76164646, 76164685)
SYNGR3	P1P2	chr16	+	CAGE, matched peaks	(2039950, 2040017)	(2039950, 2040017)
SYNGR4	P1P2	chr19	+	CAGE, matched peaks	(48867699, 48867772)	(48867600, 48867629)
SYNJ1	P1P2	chr21	-	CAGE, matched peaks	(34100200, 34100240)	(34100296, 34100338)
SYNJ2	P1P2	chr6	+	CAGE, matched peaks	(158402860, 158402933)	(158402860, 158402933)
SYNJ2BP	P1P2	chr14	-	CAGE, matched peaks	(70883708, 70883819)	(70883708, 70883819)
SYNJ2BP-COX16	P1P2	chr14	-	CAGE, primary peaks	(70883708, 70883819)	(70883708, 70883819)
SYNM	P1P2	chr15	+	CAGE, matched peaks	(99645277, 99645292)	(99645252, 99645262)
SYNPO	P1	chr5	+	CAGE, matched peaks	(150004188, 150004308)	(150004188, 150004308)
SYNPO	P2	chr5	+	CAGE, matched peaks	(150020214, 150020231)	(150020214, 150020231)
SYNPO2L	P1	chr10	-	CAGE, matched peaks	(75415742, 75415801)	(75415742, 75415801)
SYNPO2L	P2	chr10	-	CAGE, matched peaks	(75410771, 75410813)	(75410771, 75410813)
SYNPR	P1P2	chr3	+	CAGE, matched peaks	(63263953, 63264016)	(63263953, 63264016)
SYNRG	P1P2	chr17	-	CAGE, matched peaks	(35969409, 35969486)	(35969409, 35969486)
SYP	P1P2	chrX	-	CAGE, matched peaks	(49056640, 49056660)	(49056640, 49056660)
SYPL1	P1P2	chr7	-	CAGE, matched peaks	(105752651, 105752776)	(105752971, 105753054)
SYPL2	P1P2	chr1	+	CAGE, matched peaks	(110009150, 110009197)	(110009215, 110009235)
SYS1	P1P2	chr20	+	CAGE, matched peaks	(43991754, 43991853)	(43991666, 43991696)
SYT1	P1	chr12	+	CAGE, matched peaks	(79258547, 79258607)	(79258547, 79258607)
SYT1	P2	chr12	+	CAGE, matched peaks	(79439461, 79439490)	(79439461, 79439490)
SYT10	P1P2	chr12	-	CAGE, matched peaks	(33592743, 33592764)	(33592695, 33592706)
SYT11	P1P2	chr1	+	CAGE, matched peaks	(155829341, 155829365)	(155829286, 155829340)
SYT12	P1P2	chr11	+	CAGE, matched peaks	(66790555, 66790614)	(66790693, 66790733)
SYT13	P1P2	chr11	-	CAGE, matched peaks	(45307817, 45307898)	(45307765, 45307784)
SYT14	P1P2	chr1	+	CAGE, matched peaks	(210111570, 210111603)	(210111553, 210111569)
SYT15	P1P2	chr10	-	CAGE, matched peaks	(46970474, 46970503)	(46970573, 46970610)
SYT16	all	chr14	+	Annotation	(62462540.0, 62462540.0)	(62462540.0, 62462540.0)
SYT17	P1P2	chr16	+	CAGE, matched peaks	(19179549, 19179622)	(19179549, 19179622)
SYT2	P1P2	chr1	-	CAGE, matched peaks	(202679556, 202679619)	(202679535, 202679553)
SYT3	P1P2	chr19	-	CAGE, matched peaks	(51143096, 51143143)	(51143096, 51143143)
SYT4	P1P2	chr18	-	CAGE, matched peaks	(40857447, 40857461)	(40857329, 40857357)
SYT5	P1P2	chr19	-	CAGE, matched peaks	(55691488, 55691551)	(55691614, 55691696)
SYT6	P1P2	chr1	-	CAGE, matched peaks	(114695537, 114695554)	(114696485, 114696496)
SYT7	P1P2	chr11	-	CAGE, matched peaks	(61348483, 61348572)	(61348576, 61348613)
SYT8	P1P2	chr11	+	CAGE, matched peaks	(1856186, 1856232)	(1855645, 1855729)
SYT9	P1P2	chr11	+	CAGE, matched peaks	(7273189, 7273223)	(7273117, 7273170)
SYTL1	P1	chr1	+	CAGE, matched peaks	(27668505, 27668582)	(27668505, 27668582)
SYTL1	P2	chr1	+	CAGE, matched peaks	(27669735, 27669761)	(27669735, 27669761)
SYTL2	P1P2	chr11	-	CAGE, matched peaks	(85522175, 85522192)	(85522175, 85522192)
SYTL3	P1	chr6	+	CAGE, matched peaks	(159071015, 159071096)	(159071015, 159071096)
SYTL3	P2	chr6	+	CAGE, matched peaks	(159084146, 159084175)	(159084146, 159084175)
SYTL4	P1P2	chrX	-	CAGE, matched peaks	(99987088, 99987141)	(99986494, 99986529)
SYTL5	P1P2	chrX	+	CAGE, matched peaks	(37865804, 37865842)	(37865844, 37865866)
SYVN1	P1P2	chr11	-	CAGE, matched peaks	(64901978, 64902009)	(64901951, 64901974)
SZRD1	P1P2	chr1	+	CAGE, matched peaks	(16693720, 16693747)	(16694047, 16694084)
SZT2	P1P2	chr1	+	CAGE, matched peaks	(43855545, 43855557)	(43855545, 43855557)
T	P1P2	chr6	-	CAGE, matched peaks	(166582133, 166582149)	(166581333, 166581349)
TAAR1	all	chr6	-	Annotation	(132967141.0, 132967141.0)	(132967141.0, 132967141.0)
TAB1	all	chr22	+	CAGE, robust peak	(39795748, 39795811)	(39795748, 39795811)
TAB2	P1P2	chr6	+	CAGE, matched peaks	(149638776, 149638863)	(149638661, 149638709)
TAB3	P1P2	chrX	-	CAGE, matched peaks	(30907363, 30907381)	(30907459, 30907468)
TAC1	P1P2	chr7	+	CAGE, matched peaks	(97361388, 97361405)	(97361218, 97361227)
TACC1	P1P2	chr8	+	CAGE, matched peaks	(38644746, 38644761)	(38644715, 38644732)
TACC2	ENST00000260733.3	chr10	+	CAGE, robust peak	(123923111, 123923160)	(123923325, 123923332)
TACC2	ENST00000360561.3	chr10	+	CAGE, robust peak	(123922882, 123922884)	(123923111, 123923160)
TACC3	P1	chr4	+	CAGE, matched peaks	(1723197, 1723261)	(1723197, 1723261)
TACC3	P2	chr4	+	CAGE, matched peaks	(1725231, 1725273)	(1725231, 1725273)
TACO1	P1P2	chr17	+	CAGE, matched peaks	(61678225, 61678260)	(61678272, 61678291)
TACR1	P1P2	chr2	-	CAGE, matched peaks	(75426637, 75426652)	(75426831, 75426848)
TACR2	P1	chr10	-	CAGE, matched peaks	(71169031, 71169044)	(71169031, 71169044)
TACR2	P2	chr10	-	CAGE, matched peaks	(71176667, 71176679)	(71176667, 71176679)
TACR3	P1P2	chr4	-	CAGE, matched peaks	(104641137, 104641143)	(104640937, 104640947)
TADA1	P1P2	chr1	-	CAGE, matched peaks	(166845467, 166845509)	(166845515, 166845538)
TADA2A	P1P2	chr17	+	CAGE, matched peaks	(35766967, 35767022)	(35767301, 35767344)
TADA2B	P1P2	chr4	+	CAGE, matched peaks	(7045042, 7045145)	(7045146, 7045155)
TADA3	P1P2	chr3	-	CAGE, matched peaks	(9834088, 9834176)	(9834375, 9834455)
